ano,uf,status,origem,arquivo_7z,arquivos_lidos,observacoes_renda
1994,AC,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/AC1994.7z,1,25166
1994,AL,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/AL1994.7z,1,143748
1994,AM,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/AM1994.7z,1,125705
1994,AP,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/AP1994.7z,1,18509
1994,BA,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/BA1994.7z,1,557097
1994,CE,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/CE1994.7z,1,320557
1994,DF,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/DF1994.7z,1,352870
1994,ES,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/ES1994.7z,1,266717
1994,GO,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/GO1994.7z,1,290242
1994,MA,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/MA1994.7z,1,127247
1994,MG,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/MG1994.7z,1,1559785
1994,MS,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/MS1994.7z,1,166227
1994,MT,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/MT1994.7z,1,147423
1994,PA,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/PA1994.7z,1,214377
1994,PB,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/PB1994.7z,1,122813
1994,PE,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/PE1994.7z,1,495292
1994,PI,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/PI1994.7z,1,94192
1994,PR,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/PR1994.7z,1,911228
1994,RJ,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/RJ1994.7z,1,1768773
1994,RN,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/RN1994.7z,1,128065
1994,RO,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/RO1994.7z,1,63306
1994,RR,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/RR1994.7z,1,11873
